Origin Time,Latitude,Longitude,Magnitude,Depth,Region
15-07-2016 21:30:20 WIB,-3.46,99.60,4.0,11 Km,222_Km_BaratDaya_MUKOMUKO_BENGKULU
15-07-2016 21:30:18 WIB,-3.51,99.51,4.0,56 Km,240 km Tenggara KEP-MENTAWAI-SUMBAR
15-07-2016 15:18:26 WIB,-2.91,135.53,3.7,9 Km,50 km TimurLaut NABIRE-PAPUA
15-07-2016 15:07:47 WIB,-1.27,118.98,3.6,13 Km,Mamuju Utara-Indonesia
15-07-2016 11:44:26 WIB,-4.42,135.98,4.1,23 Km,59 km BaratDaya DEIYAI-PAPUA
15-07-2016 11:27:57 WIB,-1.39,119.45,3.9,10 Km,25 km Tenggara Mamuju Utara-SULBAR
15-07-2016 11:15:36 WIB,-1.41,119.42,4.1,27 Km,Mamuju Utara-Sulawesi
15-07-2016 09:44:26 WIB,-4.42,135.98,4.1,23 Km,DEIYAI-PAPUA-Indonesia
15-07-2016 05:07:49 WIB,-7.63,120.24,4.4,10 Km,Flores sea-Indonesia
15-07-2016 04:29:40 WIB,-9.65,119.72,4.8,10 Km,18 km Tenggara Sumba Tengah
15-07-2016 04:29:35 WIB,-10.05,119.26,4.8,24 Km,"Sumba Region, Indonesia"
15-07-2016 04:29:33 WIB,-10.17,119.26,4.7,18 Km,59_km_Baratdaya_SUMBABARAT_NTT
15-07-2016 01:28:06 WIB,-10.50,107.95,5.6,10 Km,317_Km_BaratDaya_KAB_TASIKMALAYA_JABAR
15-07-2016 01:28:04 WIB,-10.62,107.93,5.5,10 Km,330_km_Baratdaya_Tasikmalaya_JABAR
15-07-2016 01:28:03 WIB,-10.6,107.95,5.1,10 Km,"South of Java, Indonesia"
14-07-2016 18:21:16 WIB,-4.63,102.23,4.0,27 Km,Seluma-Bengkulu
14-07-2016 08:06:26 WIB,-6.40,104.96,3.7,10 Km,"pesawaran, lampung"
14-07-2016 00:09:57 WIB,-6.09,130.74,4.2,103 Km,banda sea-Indonesia
13-07-2016 20:13:06 WIB,-6.70,127.55,4.7,500 Km,316 km Timur Laut ALOR-NTT
13-07-2016 16:26:22 WIB,1.39,96.95,4.3,25 Km,"24 Km Barat Lahewa,Nias Utara - Sumatera"
13-07-2016 16:26:18 WIB,1.43,97.04,4.3,21 Km,41 Km BaratLaut Nias Utara - Sumatera
13-07-2016 16:26:17 WIB,1.37,96.92,4.3,25 Km,24km Barat Lahewa NiasUtara Sumut
13-07-2016 16:26:16 WIB,1.39,96.95,4.3,23 Km,Off West Coast of Northern Sumatra
13-07-2016 05:13:06 WIB,1.62,128.4,4.6,27 Km,37km Barat laut Halmahera Timur-MALUT
12-07-2016 23:25:08 WIB,1.41,126.43,4.8,6 Km,Laut Maluku
12-07-2016 06:45:37 WIB,-5.33,103.20,3.8,26 Km,"pesisir barat, lampung"
12-07-2016 03:28:40 WIB,-4.76,102.10,5.0,69 Km,"Southern Sumatra, Indonesia"
12-07-2016 02:38:58 WIB,-8.38,111.71,3.8,21 Km,Trenggalek
12-07-2016 01:44:24 WIB,-9.21,114.18,3.8,37 Km,111_km_Selatan_Bayuwangi
11-07-2016 21:55:22 WIB,-8.20,109.08,4.5,10 Km,"Tenggara Cilacap, Indonesia"
11-07-2016 21:52:22 WIB,-8.02,109.08,4.5,10 Km,"Cilacap, Indonesia"
11-07-2016 21:52:20 WIB,-8.42,109.03,4.0,10 Km,72_km_SelatanCilacap_Jateng
11-07-2016 21:30:29 WIB,-8.56,107.07,4.0,10 Km,"Banjar, Jawa Barat"
11-07-2016 21:00:07 WIB,-4.32,134.61,4.7,10 Km,Papua Barat-Indonesia
11-07-2016 19:00:07 WIB,-4.32,134.81,5.0,50 Km,Papua-Indonesia
11-07-2016 18:07:03 WIB,7.93,127.88,4.5,102 Km,Kisar-MBD
10-07-2016 17:12:21 WIB,0.11,100.09,3.4,10 Km,Indonesia
10-07-2016 16:53:28 WIB,0.11,100.10,4.3,10 Km,"Sumatra, Indonesia"
10-07-2016 16:31:58 WIB,0.21,100.08,5.4,10 Km,10 km Barat Daya Pasaman - SUMBAR
10-07-2016 16:31:57 WIB,0.05,100.11,5.0,10 Km,"Northern Sumatra, Indonesia"
10-07-2016 13:32:46 WIB,-2.37,100.71,4.7,75 Km,"75 km BD Pesisir Selatan, SUMBAR"
10-07-2016 00:37:50 WIB,-2.13,121.37,3.8,10 Km,Sulawesi-Indonesia
09-07-2016 01:08:30 WIB,-1.82,139.14,5.0,10 Km,Near North Coast of Papua
09-07-2016 01:08:29 WIB,-1.79,139.13,4.8,10 Km,Near North Coast of Irian Jaya
08-07-2016 22:10:01 WIB,-8.23,108.26,4.8,27 Km,"Java, Indonesia"
07-07-2016 17:12:08 WIB,-8.04,126.79,5.5,42 Km,Timor Region
07-07-2016 16:55:55 WIB,-8.08,126.86,5.0,18 Km,Timor Region
07-07-2016 13:54:16 WIB,-0.78,131.30,3.8,10 Km,"Irian Jaya Region, Indonesia"
07-07-2016 13:54:07 WIB,-1.29,130.89,3.9,10 Km,"63 km BD Sorong, Papua Barat"
07-07-2016 09:42:37 WIB,-0.33,123.07,4.5,68 Km,"69 km TL Pagimana, Kab. Banggai"
06-07-2016 14:03:01 WIB,-1.43,115.14,4.5,10 Km,Borneo
06-07-2016 14:03:00 WIB,-1.42,115.19,4.5,10 Km,Borneo-Indonesia
04-07-2016 19:16:42 WIB,02.07,127.77,4.5,7 Km,"Halmahera,Indonesia"
04-07-2016 16:32:40 WIB,01.05,97.06,4.8,24 Km,"Nias, Indonesia"
03-07-2016 14:40:49 WIB,-4.02,127.73,4.0,19 Km,Banda Sea
02-07-2016 16:28:54 WIB,-10.21,119.22,5.1,10 Km,"Sumba Region, Indonesia"
31-08-2016 10:12:26 WIB,-1.54,100.15,3.6,10 Km,84 km Barat Laut Pesisir Selatan -
30-08-2016 21:29:25 WIB,-1.47,105.60,4.0,10 Km,42 km Timur Laut Bangka Barat -
29-08-2016 01:41:37 WIB,3.31,126.78,4.5,10 Km,"Talaud Islands, Indonesia"
28-08-2016 19:42:54 WIB,-9.32,119.45,5.0,69 Km,Sumba region
28-08-2016 19:42:53 WIB,-9.34,119.48,5.0,92 Km,"Sumba Region, Indonesia"
28-08-2016 14:23:52 WIB,-2.79,138.54,5.5,64 Km,"Papua, Indonesia"
26-08-2016 15:46:39 WIB,-2.63,119.27,3.8,14 Km,31 km from Mamasa Sulbar
25-08-2016 14:36:51 WIB,-8.77,111.15,4.4,40 Km,"ing=65 km Tenggara Pacitan-Jawa Timur """
25-08-2016 09:57:15 WIB,-0.86,127.47,3.9,46 Km,25 km Selatan Labuha-MALUT
24-08-2016 22:59:01 WIB,-3.11,99.97,3.8,19 Km,41 km Barat Daya Pulau Pagai -
24-08-2016 20:48:47 WIB,-2.97,100.15,5.6,58 Km,"Southern Sumatra,Indonesia"
24-08-2016 20:48:45 WIB,-2.97,100.07,5.8,58 Km,"Southern Sumatra, Indonesia"
24-08-2016 07:04:34 WIB,-3.23,128.86,3.8,10 Km,14 Km Baratlaut Masohi-Indonesia
23-08-2016 19:02:47 WIB,-3.28,128.88,4.4,10 Km,8 km Baratlaut Masohi
21-08-2016 22:28:46 WIB,-3.76,101.92,4.1,43 Km,47 Km Barat Daya ARGA MAKMUR-BENGKULU
21-08-2016 07:42:52 WIB,-3.62,131.40,5.0,16 Km,"Irian Jaya Region, Indonesia"
20-08-2016 11:26:19 WIB,-2.61,138.95,4.2,10 Km,84 km Tenggara Sarmi-PAPUA
20-08-2016 08:31:38 WIB,3.35,95.87,4.5,60 Km,dilaut 80 km Barat Laut Kab.Simeulue-ACEH
20-08-2016 01:21:39 WIB,-3.34,128.15,3.8,10 Km,23 km Barat Kairatu-SBB
20-08-2016 01:12:28 WIB,-3.35,128.15,3.6,10 Km,23 km Barat Kairatu-SBB
18-08-2016 18:19:17 WIB,-07.65,128.42,5.3,184 Km,MALUKUBRTDAYA
18-08-2016 16:31:02 WIB,-4.33,102.18,4.2,27 Km,60 km Selatan Bengkulu
17-08-2016 17:00:20 WIB,-6.47,103.63,3.8,10 Km,159 Km BD Lampung Barat-Indonesia
17-08-2016 13:01:48 WIB,-10.47,124.53,5.0,10 Km,TIMORTENGAHSEL-NTT
17-08-2016 06:15:19 WIB,-2.66,140.04,3.8,83 Km,53 km BaratLaut Kab.Jayapura-PAPUA
17-08-2016 00:47:48 WIB,-8.50,110.28,4.0,15 Km,Java-Indonesia
16-08-2016 23:21:23 WIB,-8.33,109.28,4.9,35 Km,Java-Indonesia
15-08-2016 12:48:13 WIB,-8.09,107.23,3.7,19 Km,GARUT JABAR-INDONESIA
14-08-2016 21:29:00 WIB,1.62,126.93,5.2,81 Km,Northern Molucca Sea
14-08-2016 11:19:10 WIB,-4.37,127.29,4.7,10 Km,61 km Selatan Ambalau-BURSEL
14-08-2016 11:18:46 WIB,-6.47,126.89,5.0,10 Km,Banda Sea
14-08-2016 07:00:55 WIB,-9.74,113.99,4.3,10 Km,JATIM-INDONESIA
14-08-2016 04:41:26 WIB,-9.72,118.95,4.1,10 Km,29 Km Barat Daya Sumba Barat Daya
13-08-2016 15:19:40 WIB,0.23,123.30,4.6,80 Km,88km BaratDaya BOLEBOLANGO-GORONTALO
13-08-2016 01:38:43 WIB,-3.27,127.37,5,24 Km,30 km Timur Namlea
13-08-2016 01:20:14 WIB,-9.75,119.91,5.3,55 Km,"Sumba Region, Indonesia"
12-08-2016 15:30:06 WIB,-6.63,104.84,5.2,10 Km,129 km BaratDaya Pesawaran-Lampung
12-08-2016 14:17:16 WIB,-6.57,104.88,5.1,56 Km,"Sunda Strait, Indonesia"
11-08-2016 08:06:22 WIB,1.36,120.78,4.6,10 Km,53km Timur Laut TOLI TOLI-SULTENG
09-08-2016 23:01:12 WIB,-7.92,124.98,4.2,10 Km,62 km Timur Laut ALOR
09-08-2016 22:37:36 WIB,-8.19,115.69,4.5,11 Km,25 km Timur Laut KARANGASEM
09-08-2016 17:19:41 WIB,0.57,122.34,4.8,66 Km,16km Tenggara BOALEMO-GORONTALO
07-08-2016 21:02:41 WIB,-6.14,104.09,5.0,57 Km,"Sunda Strait, Indonesia"
07-08-2016 21:02:40 WIB,-6.03,104.16,5.0,10 Km,"Sunda Strait, Indonesia"
06-08-2016 17:55:57 WIB,-7.15,129.34,5.3,187 Km,Banda Sea
05-08-2016 16:40:56 WIB,-5.72,100.57,5.5,140 Km,"Southwest of Sumatra, Indonesia"
05-08-2016 16:40:53 WIB,-5.9,100.45,5.0,10 Km,"Southwest of Sumatra, Indonesia"
04-08-2016 21:48:18 WIB,-2.96,127.56,4.9,10 Km,62 km Timurlaut Namlea
04-08-2016 02:14:38 WIB,-6.16,122.56,4.8,14 Km,BAUBAU-INDONESIA
03-08-2016 21:29:54 WIB,-1.34,96.86,4.5,10 Km,251 km Barat Daya Teluk
03-08-2016 19:14:40 WIB,-6.21,122.48,4.5,94 Km,BAUBAU-INDONESIA
02-08-2016 07:24:48 WIB,2.81,95.27,5.0,116 Km,93 km Barat Laut Sinabang
02-08-2016 02:40:08 WIB,1.64,95.61,5.1,38 Km,120 KM Baratdaya Kab.Simeuleu-ACEH
02-08-2016 00:47:05 WIB,02.01,99.08,4.7,139 Km,4 km BaratDaya TAPANULIUTARA-SUMUT
02-08-2016 00:47:03 WIB,02.01,99.04,4.9,154 Km,"Northern Sumatra, Indonesia"
01-08-2016 06:40:02 WIB,-8.24,117.87,5.7,22 Km,"Sumbawa Region, Indonesia"
01-08-2016 06:40:01 WIB,-8.23,117.86,5.6,18 Km,63 km Barat laut Dompu-NTB
30-09-2016 04:49:09 WIB,-6.35,128.07,5.1,348 Km,Banda Sea
29-09-2016 17:27:34 WIB,-2.82,127.89,4.7,10 Km,43 km Baratlaut Piru
29-09-2016 04:07:48 WIB,-0.76,120.33,4.3,53 Km,Donggala-Indonesia
29-09-2016 04:07:46 WIB,-0.90,120.22,4.2,26 Km,Dolago Parigi Moutong Sulteng-Indonesia
27-09-2016 12:38:10 WIB,-0.24,100.41,4.0,10 Km,7 km Timur Laut Bukittinggi-Sumbar
24-09-2016 18:09:42 WIB,-1.83,140.74,5.2,10 Km,"di laut, 84 Km TimurLaut KAB JAYAPURA-PAPUA"
24-09-2016 18:04:33 WIB,-2.03,140.63,5.3,10 Km,"di laut, 136 Km BaratLaut KAB JAYAPURA-PAPUA"
24-09-2016 16:41:59 WIB,-1.83,140.45,4.8,10 Km,Di Laut 83 Km Barat Laut Kab.
24-09-2016 05:53:16 WIB,6.12,126.47,6.6,78 Km,"Mindanao,Philipines"
24-09-2016 05:23:00 WIB,6.12,126.47,6.2,10 Km,mindanao-philipines
24-09-2016 00:15:03 WIB,-8.94,115.24,4.2,110 Km,30 Km Tenggara Denpasar-Bali
23-09-2016 22:37:27 WIB,-10.21,123.70,4.8,58 Km,31 Km BaratDaya Kabupaten KUPANG
23-09-2016 13:30:18 WIB,-9.82,124.85,4.6,29 Km,NTT
23-09-2016 12:09:27 WIB,-6.55,130.52,5.2,128 Km,Banda Sea
22-09-2016 20:41:47 WIB,-5.31,103.60,4.7,26 Km,37 Km Barat Krui PESISIRBARAT-LAMPUNG
22-09-2016 15:55:30 WIB,-8.26,115.66,3.6,10 Km,18 Km Timur Laut Karangasem-Bali
21-09-2016 22:52:07 WIB,-3.68,135.42,4.5,10 Km,"di darat, 36 Km BaratDaya Nabire-PAPUA"
21-09-2016 01:07:06 WIB,-9.07,111.50,5.1,10 Km,ing=108 km Tenggara Pacitan - Jawa
21-09-2016 00:55:38 WIB,-3.95,128.26,3.8,10 Km,29 km Selatan Ambon
20-09-2016 21:50:29 WIB,-1.74,138.9,4.0,10 Km,"di Laut, 22 km TimurLaut SARMI-PAPUA"
20-09-2016 20:10:50 WIB,-1.85,138.80,5.4,16 Km,Near North Coast of Irian Jaya
20-09-2016 10:04:39 WIB,-0.96,120.38,4.1,10 Km,29 km Tenggara PARIGI - SULTENG
20-09-2016 10:04:38 WIB,-0.88,120.27,4.0,14 Km,70 km Tenggara DONGGALA - SULTENG
20-09-2016 05:15:04 WIB,-1.85,138.82,4.8,14 Km,8km TimurLaut Sarmi-PAPUA-Indonesia
19-09-2016 09:43:06 WIB,02.02,98.98,4.3,10 Km,"Tarutung, SUMUT"
18-09-2016 14:46:11 WIB,-2.07,140.39,4.3,11 Km,"di laut, 58 Km Baratlaut KAB. JAYAPURA-PAPUA"
18-09-2016 14:17:37 WIB,-1.95,140.65,5.3,10 Km,"di laut, 71 Km Baratlaut JAYAPURA-PAPUA"
18-09-2016 12:54:15 WIB,2.60,128.54,4.8,72 Km,67km TimurLaut DARUBA-MALUT
18-09-2016 10:27:11 WIB,-8.86,112.40,4.6,45 Km,ing=77 km Barat Daya Kab. Malang
17-09-2016 09:30:55 WIB,-4.65,102.59,5.1,48 Km,"Southern Sumatra, Indonesia"
17-09-2016 09:30:53 WIB,-4.79,102.49,5.4,19 Km,"Southern Sumatra, Indonesia"
17-09-2016 08:20:20 WIB,-2.09,140.65,5.7,23 Km,Near North Coast of Irian Jaya
16-09-2016 14:50:47 WIB,5.72,125.65,5.4,199 Km,"Mindanao, Philippines"
16-09-2016 02:45:55 WIB,-3.77,129.1,5.2,113 Km,38 km Timur Nusalaut-MALTENG
15-09-2016 10:36:40 WIB,-0.84,120.28,3.7,34 Km,67 km Tenggara Donggala SULTENG
15-09-2016 10:28:54 WIB,-0.89,120.41,4.2,27 Km,67 Km Barat Laut Poso-SULTENG
13-09-2016 13:39:50 WIB,-7.18,129.98,5.1,115 Km,Banda Sea
12-09-2016 22:10:08 WIB,-5.06,101.57,5.1,10 Km,"Southwest of Sumatra, Indonesia"
12-09-2016 17:38:20 WIB,-10.97,113.93,5.0,10 Km,"Denpasar Bali, Indonesia"
12-09-2016 04:27:33 WIB,-2.45,99.97,4.6,12 Km,7 km Barat Laut Pagai Utara-Mentawai
11-09-2016 22:35:07 WIB,-6.08,105.46,4.8,10 Km,58 km Barat Daya Lampung Selatan
11-09-2016 14:33:46 WIB,-6.78,105.19,3.6,10 Km,114 km BaratDaya Pandeglang-Banten
10-09-2016 09:49:54 WIB,-9.88,111.66,5.0,10 Km,"South of Java, Indonesia"
10-09-2016 05:46:30 WIB,-2.57,140.33,4.0,37 Km,20km Barat KAB.JAYAPURA-PAPUA -Indonesia
09-09-2016 11:39:32 WIB,-0.93,120.25,4.2,10 Km,15 KM Tenggara Parigi - SULTENG
09-09-2016 02:36:08 WIB,-4.54,102.08,4.8,24 Km,89 Km Barat Daya Seluma-Bengkulu
07-09-2016 21:32:40 WIB,-0.92,120.42,5.1,17 Km,"Minahassa Peninsula, Sulawesi"
07-09-2016 21:32:39 WIB,-0.93,120.34,5.1,10 Km,"Minahassa Peninsula, Sulawesi"
07-09-2016 21:23:45 WIB,-4.31,140.16,5.3,104 Km,89 Km Baratlaut Peg.Bintang-PAPUA
07-09-2016 19:30:41 WIB,-2.23,101.85,4.1,143 Km,15 km BaratDaya Merangin - Jambi
07-09-2016 08:14:49 WIB,-8.25,123.30,4.6,10 Km,31 km BaratLaut LEMBATA-NTT
06-09-2016 23:09:06 WIB,-08.71,120.56,3.7,10 Km,11 km BaratDaya ManggaraiTimur-NTT
05-09-2016 13:14:09 WIB,3.95,126.98,5.2,42 Km,"Talaud Islands,Indonesia"
04-09-2016 23:27:01 WIB,1.22,122.70,4.8,13 Km,40km TimurLaut GORONTALO UTARA
04-09-2016 19:39:27 WIB,-1.38,134.13,3.9,41 Km,15km BaratLaut RANSIKI-PAPUA BARAT-Indonesia
02-09-2016 13:43:02 WIB,-08.50,121.79,4.0,10 Km,TimurLaut ENDE-NTT
02-09-2016 07:26:10 WIB,-09.87,119.13,4.2,19 Km,Barat Daya SUMBABARATDAYA-NTT
02-09-2016 06:26:10 WIB,-09.87,119.13,4.2,19 Km,Barat Daya SUMBABARATDAYA-NTT
02-09-2016 03:04:17 WIB,0.50,98.51,5.5,19 Km,79 km Tenggara Nias Selatan - Sumut
01-09-2016 18:25:28 WIB,-3.63,127.45,4.3,10 Km,37 km Timurlaut Ambalau-BURSEL
01-09-2016 15:27:30 WIB,2.93,126.6,4.7,10 Km,123km BaratDaya KEP.TALAUD-SULUT
31-10-2016 17:18:14 WIB,-4.7,120.00,4.6,10 Km,Sulawesi Selatan
31-10-2016 17:18:13 WIB,-4.68,120.06,4.5,7 Km,11 Km Barat Daya Bone - Sulsel
30-10-2016 12:42:46 WIB,-3.82,122.33,4.0,3 Km,"26 km Timur Laut Konawe,SULTRA"
30-10-2016 11:42:45 WIB,-3.86,122.34,4.3,10 Km,didarat 32 KM Timurlaut Unaaha-SULTRA
29-10-2016 02:11:06 WIB,-2.26,140.34,4.8,10 Km,40km BaratLaut Kab Jayapura-PAPUA-Indonesia
28-10-2016 07:42:00 WIB,-2.39,140.20,5.2,13 Km,Near North Coast of Papua
27-10-2016 15:17:49 WIB,1.32,125.79,6.1,10 Km,Northern Molucca Sea
27-10-2016 08:17:51 WIB,1.38,125.78,5.9,82 Km,Northern Molucca Sea
23-10-2016 12:45:46 WIB,-7.90,107.06,4.8,35 Km,81 Km Barat Daya GARUT-JABAR
23-10-2016 05:44:49 WIB,-8.08,107.59,4.9,67 Km,67 Km Barat Daya GARUT-JABAR
21-10-2016 23:10:53 WIB,1.97,127.25,5.2,42 Km,"Halmahera, Indonesia"
21-10-2016 08:45:02 WIB,-1.83,100.16,4.5,10 Km,81 km Barat Daya Pesisir Selatan-Sumbar
21-10-2016 03:50:14 WIB,-9.17,123.96,5.0,84 Km,Timor Region
19-10-2016 07:26:00 WIB,-4.97,108.16,6.3,615 Km,"Java Sea,Indonesia"
19-10-2016 07:25:57 WIB,-5.29,108.00,6.5,654 Km,"Java, Indonesia"
18-10-2016 12:32:55 WIB,-2.98,119.78,3.9,10 Km,"10 km Barat Laut Rantepao,TanaToraja, SulSel, Indonesia"
16-10-2016 08:23:19 WIB,-2.65,126.67,4.7,8 Km,57 km Timurlaut Airbuaya-BURU
14-10-2016 03:18:45 WIB,4.17,126.43,5.2,46 Km,"Talaud Islands, Indonesia"
12-10-2016 23:50:49 WIB,4.87,95.54,5.0,124 Km,"Northern Sumatra, Indonesia"
12-10-2016 06:29:08 WIB,-2.32,133.90,5.1,10 Km,"Papua Region, Indonesia"
12-10-2016 04:01:31 WIB,2.20,133.83,4.6,10 Km,70 KM Tenggara Teluk Bintuni Papua Barat
12-10-2016 01:46:05 WIB,-0.76,131.27,4.2,5 Km,Papua-Indonesia
11-10-2016 11:52:44 WIB,-8.73,111.35,4.3,36 Km,64 km Tenggara Pacitan - Jawa Timur
11-10-2016 00:34:01 WIB,-8.87,111.30,4.7,25 Km,ing=77 km Tenggara Pacitan - Jawa
10-10-2016 07:18:41 WIB,1.80,120.59,4.2,10 Km,"49 km Bara Daya Poso, Sulteng, Indonesia"
09-10-2016 21:46:27 WIB,1.79,127.41,6.2,117 Km,"Halmahera,Indonesia"
09-10-2016 01:15:22 WIB,-5.91,123.97,4.8,44 Km,77 km Tenggara Wakatobi-SULTRA
07-10-2016 23:17:31 WIB,1.52,127.12,5.0,100 Km,"Halmahera, Indonesia"
06-10-2016 15:32:58 WIB,-2.91,119.74,4.0,10 Km,18 km Barat Laut Tana Toraja -
04-10-2016 23:56:05 WIB,-8.31,113.39,4.6,163 Km,36 km Tenggara LUMAJANG-JATIM
30-11-2016 17:17:03 WIB,-4.59,101.93,4.6,30 Km,89 km BaratDaya Tais-BENGKULU
30-11-2016 09:42:15 WIB,-7.03,131.99,5.7,30 Km,didarat 89 KM Timurlaut MALUKUTENGGARABARAT
30-11-2016 09:29:11 WIB,-7.04,132.05,5.0,21 Km,"Tanimbar Islands Reg., Indonesia"
29-11-2016 22:05:19 WIB,-9.71,118.90,4.6,10 Km,32 Km Barat Daya Sumba Barat Daya
26-11-2016 19:42:27 WIB,1.47,120.87,4.3,10 Km,67km TimurLaut Toli-Toli-Sulteng
23-11-2016 23:21:33 WIB,-8.45,115.93,4.7,24 Km,"Mataram,NTB-Indonesia"
