Date,Location ISO Code,Location,New Cases,New Deaths,New Recovered,New Active Cases,Total Cases,Total Deaths,Total Recovered,Total Active Cases,Location Level,City or Regency,Province,Country,Continent,Island,Time Zone,Special Status,Total Regencies,Total Cities,Total Districts,Total Urban Villages,Total Rural Villages,Area (km2),Population,Population Density,Longitude,Latitude,New Cases per Million,Total Cases per Million,New Deaths per Million,Total Deaths per Million,Case Fatality Rate,Case Recovered Rate,Growth Factor of New Cases,Growth Factor of New Deaths,Name,Item,Kind,Hidden
2/2/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,68,-72,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,755.56%,1.00,1.00,,,,
2/3/2020,ID-JI,Jawa Timur,0,0,2,-2,9,13,70,-74,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,777.78%,1.00,1.00,,,,
2/4/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,70,-74,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,777.78%,1.00,1.00,,,,
2/5/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,70,-74,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,777.78%,1.00,1.00,,,,
2/6/2020,ID-JI,Jawa Timur,0,0,4,-4,9,13,74,-78,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,822.22%,1.00,1.00,,,,
2/7/2020,ID-JI,Jawa Timur,0,0,0,0,9,13,74,-78,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,822.22%,1.00,1.00,,,,
2/8/2020,ID-JI,Jawa Timur,0,0,13,-13,9,13,87,-91,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.32,144.44%,966.67%,1.00,1.00,,,,
2/9/2020,ID-JI,Jawa Timur,0,4,27,-31,9,17,114,-122,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.10,0.42,188.89%,1266.67%,1.00,,,,,
2/10/2020,ID-JI,Jawa Timur,0,0,20,-20,9,17,134,-142,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.42,188.89%,1488.89%,1.00,0.00,,,,
2/11/2020,ID-JI,Jawa Timur,0,3,7,-10,9,20,141,-152,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.07,0.49,222.22%,1566.67%,1.00,,,,,
2/12/2020,ID-JI,Jawa Timur,0,5,0,-5,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.12,0.62,277.78%,1566.67%,1.00,1.67,,,,
2/13/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,0.00,,,,
2/14/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
2/15/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
2/16/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
2/17/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
2/18/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
2/19/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
2/20/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
2/21/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
2/22/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
2/23/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
2/24/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
2/25/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
2/26/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
2/27/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
2/28/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
2/29/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
3/1/2020,ID-JK,DKI Jakarta,2,0,0,2,39,20,139,-120,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,3.60,0.00,1.84,51.28%,356.41%,,,,,,
3/1/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
3/2/2020,ID-JK,DKI Jakarta,2,0,0,2,41,20,139,-118,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,3.78,0.00,1.84,48.78%,339.02%,1.00,1.00,,,,
3/2/2020,IDN,Indonesia,2,0,0,2,2,0,0,2,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.01,0.01,0.00,0.00,0.00%,0.00%,,,,,,
3/2/2020,ID-JB,Jawa Barat,3,0,0,3,3,0,75,-72,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.07,0.07,0.00,0.00,0.00%,2500.00%,,,,,,
3/2/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
3/2/2020,ID-RI,Riau,1,0,0,1,1,0,0,1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,0.16,0.16,0.00,0.00,0.00%,0.00%,,,,,,
3/3/2020,ID-JK,DKI Jakarta,2,0,0,2,43,20,139,-116,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,3.96,0.00,1.84,46.51%,323.26%,1.00,1.00,,,,
3/3/2020,IDN,Indonesia,0,0,0,0,2,0,0,2,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.00,0.01,0.00,0.00,0.00%,0.00%,0.00,1.00,,,,
3/3/2020,ID-JB,Jawa Barat,1,1,0,0,4,1,75,-72,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.09,0.02,0.02,25.00%,1875.00%,0.33,,,,,
3/3/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
3/3/2020,ID-RI,Riau,0,0,0,0,1,0,0,1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,0.00,0.16,0.00,0.00,0.00%,0.00%,0.00,1.00,,,,
3/4/2020,ID-JK,DKI Jakarta,2,0,0,2,45,20,139,-114,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.18,4.15,0.00,1.84,44.44%,308.89%,1.00,1.00,,,,
3/4/2020,IDN,Indonesia,0,0,0,0,2,0,0,2,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.00,0.01,0.00,0.00,0.00%,0.00%,1.00,1.00,,,,
3/4/2020,ID-JB,Jawa Barat,1,0,0,1,5,1,75,-71,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.11,0.00,0.02,20.00%,1500.00%,1.00,0.00,,,,
3/4/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
3/4/2020,ID-RI,Riau,0,0,0,0,1,0,0,1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,0.00,0.16,0.00,0.00,0.00%,0.00%,1.00,1.00,,,,
3/5/2020,ID-JK,DKI Jakarta,0,1,0,-1,45,21,139,-115,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.00,4.15,0.09,1.94,46.67%,308.89%,0.00,,,,,
3/5/2020,IDN,Indonesia,0,0,0,0,2,0,0,2,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.00,0.01,0.00,0.00,0.00%,0.00%,1.00,1.00,,,,
3/5/2020,ID-JB,Jawa Barat,1,0,0,1,6,1,75,-70,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.13,0.00,0.02,16.67%,1250.00%,1.00,1.00,,,,
3/5/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
3/5/2020,ID-RI,Riau,0,0,0,0,1,0,0,1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,0.00,0.16,0.00,0.00,0.00%,0.00%,1.00,1.00,,,,
3/6/2020,ID-BT,Banten,1,0,1,0,1,5,163,-167,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.09,0.09,0.00,0.47,500.00%,16300.00%,,,,,,
3/6/2020,ID-JK,DKI Jakarta,0,0,0,0,45,21,139,-115,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.00,4.15,0.00,1.94,46.67%,308.89%,1.00,0.00,,,,
3/6/2020,IDN,Indonesia,2,0,0,2,4,0,0,4,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.01,0.02,0.00,0.00,0.00%,0.00%,,1.00,,,,
3/6/2020,ID-JB,Jawa Barat,1,0,0,1,7,1,75,-69,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.02,0.15,0.00,0.02,14.29%,1071.43%,1.00,1.00,,,,
3/6/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
3/6/2020,ID-RI,Riau,0,0,0,0,1,0,0,1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,0.00,0.16,0.00,0.00,0.00%,0.00%,1.00,1.00,,,,
3/7/2020,ID-BT,Banten,0,0,0,0,1,5,163,-167,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.00,0.09,0.00,0.47,500.00%,16300.00%,0.00,1.00,,,,
3/7/2020,ID-JK,DKI Jakarta,0,2,0,-2,45,23,139,-117,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.00,4.15,0.18,2.12,51.11%,308.89%,1.00,,,,,
3/7/2020,IDN,Indonesia,0,0,0,0,4,0,0,4,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.00,0.02,0.00,0.00,0.00%,0.00%,0.00,1.00,,,,
3/7/2020,ID-JB,Jawa Barat,0,0,0,0,7,1,75,-69,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.00,0.15,0.00,0.02,14.29%,1071.43%,0.00,1.00,,,,
3/7/2020,ID-JI,Jawa Timur,0,0,0,0,9,25,141,-157,Province,,Jawa Timur,Indonesia,Asia,Jawa,UTC+07:00,,29,9,666,777,7724,47803,40479023,846.78,112.7329414,-7.723345579,0.00,0.22,0.00,0.62,277.78%,1566.67%,1.00,1.00,,,,
3/7/2020,ID-RI,Riau,0,0,0,0,1,0,0,1,Province,,Riau,Indonesia,Asia,Sumatera,UTC+07:00,,10,2,169,268,1591,87024,6074100,69.80,101.8051092,0.511647851,0.00,0.16,0.00,0.00,0.00%,0.00%,1.00,1.00,,,,
3/8/2020,ID-BT,Banten,1,0,3,-2,2,5,166,-169,Province,,Banten,Indonesia,Asia,Jawa,UTC+07:00,,4,4,155,313,1238,9663,10722374,1109.64,106.1090043,-6.456736388,0.09,0.19,0.00,0.47,250.00%,8300.00%,,1.00,,,,
3/8/2020,ID-JK,DKI Jakarta,0,0,0,0,45,23,139,-117,Province,,DKI Jakarta,Indonesia,Asia,Jawa,UTC+07:00,Daerah Khusus Ibu Kota,1,5,44,267,,664,10846145,16334.31,106.8361183,-6.204698991,0.00,4.15,0.00,2.12,51.11%,308.89%,1.00,0.00,,,,
3/8/2020,IDN,Indonesia,2,0,0,2,6,0,0,6,Country,,,Indonesia,Asia,,,,416,98,7230,8488,74953,1916907,265185520,138.34,113.921327,-0.789275,0.01,0.02,0.00,0.00,0.00%,0.00%,,1.00,,,,
3/8/2020,ID-JB,Jawa Barat,0,0,0,0,7,1,75,-69,Province,,Jawa Barat,Indonesia,Asia,Jawa,UTC+07:00,,18,9,627,645,5312,35378,45161325,1276.55,107.6037083,-6.920432083,0.00,0.15,0.00,0.02,14.29%,1071.43%,1.00,1.00,,,,
3/8/2020,ID-JT,Jawa Tengah,1,1,0,0,1,10,17,-26,Province,,Jawa Tengah,Indonesia,Asia,Jawa,UTC+07:00,,29,6,576,753,7809,32801,36364072,1108.64,110.2011149,-7.259097177,0.03,0.03,0.03,0.27,1000.00%,1700.00%,,,,,,
