,text,Label
16,rt @desamakmur1: media massa merupakan corong informasi dari desa pun bisa tersebarluaskan melalui media massa. @jokowi @halimiskandarnu @…,netral
17,"rt @uyokback: tuh dab @jokowi, dengar omongannya @66hasto dari @pdi_perjuangan. https://t.co/mkwf5ekdi0",netral
18,"rt @infosebelah: sultan mah bebas, sudah terbukti bersalah nga tahan, tekanan publik makin kencang terpaksa di tahan tp tidak di borgol. l…",positif
19,"rt @nicho_silalahi: ayo seluruh rakyat indonesia sudah saatnya kita bersama menghancurkan oligarki jahanam itu, jangan lagi kalian berpangk…",netral
20,"rt @valosenadya1: @erickthohir @jokowi rick, you kan ceo korporasi besar seblm masuk politik, you pasti tau persis pertumbuhan ekonomi tak…",negatif
21,presiden @jokowi merespons pertanyaan awak media terkait pengganti wakil ketua kpk lili pintauli siregar. presiden… https://t.co/ibfd9vy7oe,netral
22,"@erickthohir @jokowi omong kosong...!! orang miskin &amp; bodoh pasti termakan dg tipu daya begini, tapi tidak untuk m… https://t.co/rmseeuhyzz",netral
23,@conannkri @ccicpolri @mohmahfudmd negara demokrasi itu hukumnya hrs tegas dan adil.ibarat kereta api dan relnya.ke… https://t.co/eeggswuo4w,negatif
24,"@erickananta7 @richardws221188 @jokowi kalau lombok mahal pun, daya beli masyarakat pun semakin menurun... akhirnya… https://t.co/ahpthmuyc1",positif
25,rt @gratisterbaik: pak @jokowi kita bukan musuh pemerintah. kita cuma rakyat yang minta pemeritah mematuhi hukum dan mewakili kepentingan r…,netral
26,@sapporo_jack1 @heryidris5 @divhumas_polri @ccicpolri @jokowi @listyosigitp @kepolisian_ri @kspgoid tidak ada hub d… https://t.co/jlcbpfg0e7,netral
27,@katzedikke @erickthohir @jokowi nih baru ketemu lawan sejati wkwkw,positif
28,rt @kurawa: ditegor harisson ford ✅️ditegor @jokowi ✅️mungkin ini yang bisa buat nurut: ditegor dan dipanggil tuhan ?? kalo bahasa be…,netral
29,"https://t.co/b4pkt4q9ev kerja terus pakde @jokowi, semangat!!!",netral
30,@rezim_biadab @catatan_ali7 @erickthohir @jokowi pola nya mirip,negatif
31,"https://t.co/z9edsvrk5g
gas pol pakde @jokowi",positif
32,"rt @erickthohir: di pasar sukamandi, presiden @jokowi memberikan sejumlah bantuan. ini cara pemerintah memacu pertumbuhan ekonomi pascapand…",positif
33,"@jokowi kalau lahan pertanian semakin hilang, harga pupuk semakin naik, harga gabah cenderung stagnan, petani padi… https://t.co/eegyb6xxes",negatif
34,"@machbeach @lukmanrudianto @bliliang @dennysiregar7 @jokowi persis junjunganye
kadron ga bisa jauh dari selangkanga… https://t.co/tyjpkhambm",positif
35,"https://t.co/rttzflfcsu
nih instruksi pak presiden @jokowi",positif
36,rt @ipeh_tetapnganu: halooow pak @jokowi... becandanya kelewatan eneh.. 😂😂🤭🤭 https://t.co/yabepsikls,negatif
37,"@erickthohir @jokowi yg awam jg tau kale, klo mau memacu pertumbuhan itu bikin kebijakan yg pro rakyat, klo bagi2 duit mah namanya nyogok.",negatif
38,pak @jokowi gas pol ketahanan pangan https://t.co/pzaxr3uhsk,netral
39,pak @jokowi gas pol ketahanan pangan https://t.co/dr5iqr8duu,netral
40,rt @mudasirromini: @jokowi semoga bapak presiden @jokowi sukses &amp; sehat selalu . amin https://t.co/pw6gpnpdoj,negatif
41,@jokowi fix bahasa halusynya jokowi ini sembako mau naik.. wes apal klakuane...,netral
42,pak @jokowi gas pol ketahanan pangan https://t.co/6j7ywuf29w,positif
43,"@jokowi pupuk sudah hancur2n dan bapak ngomong ketersediaan pangan, harga jual anjlok solusi lah gmn pak.atau harus solusi dr rakyat?",positif
44,@erickthohir @jokowi et dah... trus tuh pedagang lngsng jd sultan atau hidup senang sampai maut menjemput...???,positif
45,"perkuat ekonomi indonesia, yasonna ikuti diskusi meja bundar di swiss
website: https://t.co/ffqhjfkess… https://t.co/7038wmjvbq",netral
46,@sahabatsaber pak @jokowi kelakuan zulhas itu sangat memalukan kabinet bapak,positif
47,"rt @circle0fl1fe: presiden @jokowi gas pol penegakkan hukum? pinginnya sih gitu. tujuan dari keadilan restoratif ini baik, masalahnya p…",positif
48,"rt @circle0fl1fe: pemerintahan @jokowi gas pol ketahanan energi. untuk menjaga ketahanan energi nasional, pertamina dongkrak produksi mig…",negatif
49,"rt @circle0fl1fe: presiden @jokowi meninjau langsung balai besar penelitian tanaman padi (bbpadi) di kabupaten subang, jawa barat, hari ini…",negatif
50,rt @circle0fl1fe: keterangan pers presiden @jokowi saat berkunjung ke pasar sukamandi kabupaten subang jawa barat. presiden membagikan ba…,positif
51,"rt @circle0fl1fe: kunjungan kerja presiden @jokowi ke kabupaten subang jawa barat, 12-7-2022.
dalam setiap kunjungan kerja ke daerah, pres…",negatif
52,@erickthohir @jokowi memangnya negara sebatas pasar sukomandi?,netral
53,"@triobenga @jokotol7 @ek_sunartoclp @sigamu_b_i_t @jokowi yg distop kan impor besar besaran, mungkin yg di maksud… https://t.co/7bps2f8pou",positif
54,"@detikcom agak heran seh, knp kmrn pak @jokowi milih dia jadi menterinya.?",netral
55,"rt @ndrairawan99: idm meningkat ipm harus meningkat. semangat membangun indonesia dari desa.
@jokowi
@halimiskandarnu
@imansyukri
@malik_ha…",positif
56,@gus_arifin @jokowi tae quda lah,positif
57,"@penjagajokowi1 @jokowi g tau sih apa alsannyaku,
tiap liat pak prabowo dampingi pak jokowi, rasa adeem gitu.
moga… https://t.co/l8l9mawvdd",negatif
58,@jaenoxtm @erickthohir @jokowi pejabat itu sebenarnya maling yg nyata.,netral
59,@narasinewsroom bagaimana ini slogan presisi nya pak kapolri @listyosigitp kok ceritanya terkesan dipaksakan dan ba… https://t.co/jedvg5wscd,netral
60,"rt @tjhoois: 🇲🇨 indonesia hebat 👍‼️ tdk termasuk dlm negara yg terancam bangkrut dibawah ini, pemerintah @jokowi dan semua elemen masyaraka…",positif
61,"rt @imbangimedia: betul. baru hutang rp 748 triliun aja sudah chaos &amp; pejabatnya melarikan diri. kita sih tenang aja, meski hutang &gt; 7000…",negatif
62,@aqylah_nadya @komnasham @komisiyudisial @najwashihab @matanajwa @mahkamahagung @mohmahfudmd @ylbhi @awkarin… https://t.co/ie2kesnr1r,positif
63,"presiden @jokowi melakukan kunjungan kerja hari ini 12-7-2022 ke kabupaten subang, jawa barat. bersyukur para ped… https://t.co/znv9xyfyvp",positif
64,"@andi_sharif pa @jokowi, minta donk satu kartunya",negatif
65,"keren juga si ompung pak @jokowi !
tapi pertanyaannya
kapan batas waktu mindahinnya?
kalo mrka nolak trus apa? lu… https://t.co/7cbekk4k6z",positif
66,@nicho_silalahi @jokowi gas keun 👊👊👊,positif
67,"@jokowi pak, aparat hukum tidak tegas, mohon ditertibkan. https://t.co/dnx8dkullg",negatif
68,"rt @jokowi: saya telah bertemu dan berbicara dengan presiden rusia vladimir putin, kamis sore di istana kremlin. saya telah menyampaikan…",positif
69,"rt @puspaswarna: @romeowalker19 @kpk_ri @jokowi negara kita udh macam pny 2 ""polisi"" utk urusan korupsi...yudikatif dg polrinya, eksekutif…",netral
70,"rt @jokowi: di meja bundar kecil ini, saya dan presiden zelenskyy berbincang di istana maryinsky, kyiv.
perjalanan saya ke ibu kota ukrain…",positif
71,"rt @romeowalker19: @puspaswarna @kpk_ri hanya bisa ber andai2 mpus, presiden @jokowi sudi dg serius memfungsikan kembali @kpk_ri sesuai dg…",netral
72,"@erickthohir @jokowi duitnya dari mana itu woy?
tiap hari ngasih bantuan tapi kekayaan makin meningkat?",Negatif
73,"@erickthohir @jokowi memacu ekonomi?
dengan hanya memberi bantuan ke segelintir orang?
yang pasti itu pencitraan.",netral
74,rt @abdulhaadi119: #mimpimuhammadqasim akan terus menerus menjadi kenyataan. janganlah kita menjadi orang-orang yang lalai dan menyesal di…,netral
75,"@jokowi minyak mahal
cabe mahal
blusukan sana sini ga ad hasil
#gaikhlasbayarpajak",positif
76,@gratisterbaik @jokowi segala warga negara bersamaan kedudukannya di dalam hukum dan pemerintahan dan wajib menjunj… https://t.co/iwemkbdrlf,netral
77,pak @jokowi lawan pandemi https://t.co/bwbroxvr8n,netral
78,rt @blookier: gimana ini @jokowi ? nakes mau sampai kapan kalian perlakukan kaya gini? kalo ga dibayar apa kami berhak berhenti kerja? nura…,netral
79,"dana desa untuk ketahanan pangan capai 11,47 t
.
mantap pak @jokowi https://t.co/kc76nmfrgg",netral
80,@tjitrosoenarjo @divhumas_polri @listyosigitp jika kasus di internal polri saja sudah dikelabui bagamana dengan kas… https://t.co/jocibkjtm7,negatif
81,"@romeowalker19 @kpk_ri @jokowi negara kita udh macam pny 2 ""polisi"" utk urusan korupsi...yudikatif dg polrinya, eks… https://t.co/azlehgejr1",negatif
82,pak @jokowi gas pol ketahanan pangan https://t.co/pjehpi5buc,netral
83,rt @h4t14k4ln4l42: bisa tidak @jokowi menyelesaikan kekisruhan ini agar dihentikan dan berfihak ke rakyat...? saya angkat topi buat anda..…,negatif
84,@jokowi maju kena mundur kena.....,negatif
85,@larosa99191235 @lazadaidcare @lazadaid @cnnindonesia @detikcom @blt082281060151 @jokowi sama gan...tanda2 mau bang… https://t.co/9sdolyqbwt,negatif
86,"betul. baru hutang rp 748 triliun aja sudah chaos &amp; pejabatnya melarikan diri. kita sih tenang aja, meski hutang &gt;… https://t.co/utqu3ihhkm",positif
87,@jokowi muhun pak leres kade nincak cangkang cau ahhh,negatif
88,rt @odhe231: kembalikan kepartainya pak @jokowi @kspgoid https://t.co/1mmddyla0g,netral
89,@johnsonpurbash @nyaiibubu @cnnindonesia @hariankompas @tmcpoldametro @metro_tv @divhumas_polri @jokowi… https://t.co/cx3p984ffx,positif
90,"rt @erickthohir: perjalanan pagi ini bersama presiden @jokowi, pak @pramonoanung dan pak @syahrul_yl. disambut hangat wakil gubernur jawa b…",negatif
91,@erickthohir @jokowi gak salah tuh followers 300k lebih yang like cuma 550 🤣🤣🤣 tutup akun aja mas,positif
92,@erickthohir @jokowi bantuan secomot emang bisa memacu pertumbuhan ekonomi cuy,positif
93,@erickthohir @jokowi mau ketawa takut dosa,positif
94,@erickthohir @jokowi haduh apa ga malu dukacangin ama nitizen,positif
95,@tjitrosoenarjo @jokowi pasti ruwet laah... menyangkut kehormatan institusi tentunya,negatif
96,"rt @the_plu: #indonesian president @jokowi inaugurated #garuda #vishnu statue, world’s tallest #hindu sculpture, in #bali in presence of co…",positif
97,@mihrabku @helineningrat @jokowi ok dimana,positif
98,rt @the_plu: thousands attended the ceremony where traditional dancers performed &amp; fireworks lit up the night sky in celebration of #indone…,negatif
99,"rt @nicho_silalahi: brengsek nih mentri, lo digaji dan dibiayai rakyat buat stabilitas harga² kebutuhan, bukan untuk berkampanye menangkan…",positif
100,@rafifauliyan @erickthohir @jokowi nah ini lbih cerdas idenya,netral
101,"rt @iamjackthe: @erickthohir @jokowi amplop?
penguasa tp ga paham macro..mana ada beginian memberikan impact pertumbuhan ekonomi.
🤣🤣🤣🤣
ekon…",netral
102,@genbewise @erickthohir @jokowi cukup kaya gini serakah ke yutuber aja hhhhh....priseden tugas lebih luas .,netral
103,"rt @nyaiibubu: adilkah ini ???
bu guru yang hina rizieq dinonaktifkan...
halo pak menteri @nadiemmakarim @kemdikbud_ri @divhumas_polri le…",negatif
104,"@puspaswarna @kpk_ri hanya bisa ber andai2 mpus, presiden @jokowi sudi dg serius memfungsikan kembali @kpk_ri sesu… https://t.co/bvpoxykz5t",netral
105,"@erickthohir @jokowi yang gw karang dalam pemikiran gw.
segala bentuk pencitraan pemimpin apa yang ia janjikan, ia… https://t.co/nsoxjzwz4q",negatif
106,"hai, aku membagikan wisata dari aplikasi #desawisatanusantara #sdgsdesa @jokowi @halimiskandarnu @imansyukri… https://t.co/efr2qpuzur",positif
107,@fredmansel @iqbaal_7 @detikcom @jokowi yg goblok siapa yg suruh pindah siapa?,positif
108,"@erickthohir @jokowi caranya itu menjaga harga komoditas, harga sembako, dan harga bbm tetap stabil dan terjangkau… https://t.co/0ffotj5ulb",netral
109,"@ari3pras @jokowi saat ini wakapolri turun langsung olah tkp, trus gada polisi yg komen lucu lagi seperti yg sudah2… https://t.co/lm4ncyndi6",netral
110,"rt @ngurahwidyaarta: menteri desa pdtt harapkan bumdesa jadi ujung tonggak perubahan ekonomi.
sumber: https://t.co/eir1ivj1wz
@jokowi
@hali…",negatif
111,@partaisocmed @ccicpolri @divhumas_polri @jokowi ayo pak itulo mereka mau makar. masak dibiarin. dan buat polri...… https://t.co/izo8mbnlqm,negatif
112,@jokowi halah pak pakk,negatif
113,"@ari3pras @jokowi kasus ini ruwet pak pras, yg meriksa nanti siapa? propam? propam menyidik bosnya propam? di ber… https://t.co/cop1silhfu",positif
114,@erickthohir @jokowi kita tak perlu sekolah tinggi2 jk teorinya pertumbuhan ekonomi bs dilakukan dengan meberikan b… https://t.co/6v782ee809,netral
115,"rt @jokowi: air adalah kunci bagi ketahanan, kemandirian, dan kedaulatan pangan. karena itulah, kita membangun bendungan di seluruh tanah a…",positif
116,"rt @gank_of_petojo: eh mas! pak @jokowi itu bukan rajapaksa! ingat itu!
rajapaksa dikejar krn gak pernah bagi bobon dan kaos! catat! jgn se…",negatif
117,@jumjumareka @erickthohir @jokowi sukamandi tu nama daerah ya?😀,negatif
118,@kohen22 @erickthohir @jokowi dikira se-indonesia goblok kek pasukan cebong semua..,positif
119,rt @veelaarhie: meski ga di tanggap @ccicpolri tetep gue laporin akun kadrun anjenk @bobbyandhika11 yg posting editan wajah pa @jokowi !!…,positif
120,"rt @ferdinandhutah4: tahun 2015, sy pernah advokasi anak2 korban predator sex atas nama ss di kediri jawa timur yg kemudian dihukum penjara…",positif
121,"@jokowi lombok, bawang merah, mundak kabeh bos.. harga makanan lek mundak yo repot... tulong bos",negatif
122,"@uyaboira pak @jokowi , menteri yg satu ini tolong dikondisikan. kelakuannya sangat menyedihkan.",positif
123,"@genbewise @erickthohir @jokowi lha yaitulah...sekelas memteri harusnya wawasan nasional, bukan wawasan sukamandi.😂",positif
124,rt @sastro20200778: @antros21 @teuku_fachrians @jokowi nggk bakalan karena para penggerak model kyak gitu baru menikmati kenyang...,negatif
125,"@erickthohir @jokowi harusnya semua pasar tradisional seluruh pelosok indonesia diblusukin pak... kok cuman pasar sukamandi aja?
😂😁😀",negatif
126,@erickthohir @jokowi @pramonoanung @syahrul_yl https://t.co/qyv2mkbrf0,negatif
127,rt @slametp88277496: @antros21 @jokowi https://t.co/b8ulzuhlqo,negatif
128,rt @slametp88277496: @antros21 @jokowi https://t.co/o8cmmfj9oc,negatif
129,rt @slametp88277496: @antros21 @jokowi https://t.co/wtz6uazji9,netral
130,@erickthohir @jokowi model tambal sulam mana ada kekuatan liat tuh jln2 yg diperbaiki dgn cr ini,positif
131,rt @muhamma02131119: @antros21 @jokowi harusnya di indonesia juga spt srilangka krn banyak kebijakan pemerintah pusat yg membuat rakyat sem…,positif
132,rt @dampakindra: @antros21 @msaid_didu @jokowi https://t.co/iy85kkp63n,positif
133,"rt @antros21: srilanka hari ini,, mau beginikah @jokowi ?? nanya gak dilarang kan ?? https://t.co/y0a9ywabqf",netral
134,@erickthohir @jokowi kasih bantuan tak seberapa.. sengsara seumur hidup 🤣,negatif
135,"dalam keterangannya selepas penyerahan, presiden menyampaikan makna iduladha sebagai momen menebarkan kebaikan dan… https://t.co/9mvqf6wd8n",positif
136,"usai menunaikan ibadah salat iduladha berjemaah, presiden joko widodo secara simbolis menyerahkan bantuan kemasyara… https://t.co/vkndu6ls9p",positif
137,rt @raishussin: indonesia is working hard on the food security front ! listen to president @jokowi on the self sufficiency level for rice !…,positif
138,@erickthohir @jokowi kualitas mentri indonesia,positif
139,"@kemetrian bumn @erickthohir @jokowi mohon perhatian , kepedulian sekaligus bantuannya untk menyelesaikan putusan… https://t.co/rxnx9andin",positif
140,idm menjadi indikator hadir nya dana desa memberi kontribusi nyata untuk kemajuan desa di kabupaten pandeglang… https://t.co/jjdcmxcrhh,positif
141,@luckman33491120 @lukmanrudianto @bliliang @dennysiregar7 @jokowi teriak babi ternyata cebong sekaum #savebabi https://t.co/1gxatj1fjc,positif
142,@emak2dasteran27 @erickthohir @jokowi bantuan gak seberapa.. sengsara seumur hidup 🤣,positif
143,presiden @jokowi dan ibu iriana kembali menaiki rantis untuk kemudian menuju stadion taruna akademi kepolisian. pre… https://t.co/wp4xpnpeex,positif
144,@aryprasetyo85 @9164wahyu beda dulu dengan sekarang bro ari sejak panglima nya sibuncit dkk kadrun serasa bebas mer… https://t.co/mg3ua1v3mx,positif
145,"@detikcom hukum bechi seberat2nya, minimal 20thn penjara. pesantren juga ditutup.
pesantren &amp; keluarga bechi menang… https://t.co/zapukeeapl",positif
146,@jokowi @prabowo @erickthohir @depkesri @pbidi @whoindonesia @blogdokter @dokter_prima @cvspharmacy @cdcgov… https://t.co/jrudv2zkk8,positif
147,"@katzedikke @erickthohir @jokowi 2022 krisis pangan dunia, tapi bulan lalu indonesia masih ekspor beras ke luar negeri :(",positif
148,"hai, aku membagikan wisata dari aplikasi #desawisatanusantara #sdgsdesa 👉👉klik 👇👇
https://t.co/qz9eb4buoi
@jokowi… https://t.co/nnbsrd7yjf",netral
149,"rt @jokowi: hari ini saya ke subang, jawa barat dan mengunjungi pasar sukamandi, untuk bertemu para pedagang sekaligus membagikan bantuan l…",positif
150,"rt @gus_arifin: yth pak @jokowi nyuwun sewu pak...mohon sanget, menteri ini diganti nggih pak 🙏",positif
151,@erickthohir @jokowi konsepnya ngasih ikan apa ngasih alat pancing bro,negatif
152,@ritzkyraditya @ahmadmuhammd @kai121 dipaksa ngutang 30 t ++ ama @jokowi regime,negatif
153,@santanha_88 @jokowi 🙏🙏,negatif
154,"rt @veritasardentur: makanya pak @jokowi, oposisi gak kredibel jangan dikasi hati.",negatif
155,@idextratime @listyosigitp @jokowi,netral
156,"@devanavedraza @yusuf_dumdum @jokowi jagalah kebersihan, buanglah sampah pada tempatnya ya njing. 🤣🤣🤣 https://t.co/gtggrgda6o",negatif
157,@erickthohir @jokowi https://t.co/23atg5flyr,positif
158,@jokowi milih menteri asal2an hasilnya ya asal2an juga 😁 https://t.co/vnugu1eg9d,negatif
159,"@lanyallaacademy @lanyallamm1 @jokkowi sudah memaafkan, tapi tidak bisa melupakan...
bisa terjadi lagi.
tiati pak @jokowi",negatif
160,@pejuang01733866 @jokowi amiiin,negatif
161,rt @dikiadam4: @erickthohir @jokowi https://t.co/rwlgbus3iz,positif
162,"rt @cak_hariy: pak @jokowi hanya mendag @zul_hasan yg berhasil menurunkan harga minyak goreng. rp. 10.000,- dpt 2 liter dan gratis lagi. he…",positif
163,"@erickthohir @jokowi mentri ini kok lucu ngomongin pertumbuhan ekonomi, yg dibutuhkan itu kebijakan yg berpihak pad… https://t.co/jylkvdvnjw",netral
164,"rt @mahasiswigenz: yang terhormat bapak presiden ⁦@jokowi⁩ , bapak punya utang budi apa sih sama pan ?
zulkifli ini sudah terlihat skali c…",positif
165,@maya83206301 @denni_sauya @jokowi apakah zulhas jual minyak goreng untuk mengkampanyekan anaknya ke dpr ri ?,netral
166,@mrsrachelin kalau agama lain yg di cabut izin nya gpp ia pak @jokowi luar biasa bapak👏👏,positif
167,rt @jumianto_rk: ayolah bang @zul_hasan fokus kerja menjalankan tugas dari presiden @jokowi untuk menurunkan harga migor cari solusi yg t…,negatif
168,@akunrecehpeduli @jokowi pertanyaan presiden paling konyol..!,positif
169,@erickthohir @jokowi situ waras pak menteri?,positif
170,@apriliciaarifah @yusrilihza_mhd @jokowi @mohmahfudmd @dpr_ri @bawaslu_ri sistim pemerintahan dari pusat adalah pus… https://t.co/zxpuslhk60,netral
171,"gw mah gak ngerti ama lo dro dro, (hendropriyono) ama anaknya si diaz hendropriyono, tau gw lagi gak megang cash, d… https://t.co/g9qitrwosw",netral
172,@baichunlian1 @menlu_ri @jokowi 故宫文创产品,netral
173,"presiden joko widodo beserta ibu iriana joko widodo menunaikan salat iduladha 1443 hijriah di masjid istiqlal, jaka… https://t.co/zrzef1otcz",positif
174,@arybandung @jokowi setuju bang.👍,positif
175,"pemerintah mulai membangun palapa ring integrasi melalui program public privat patnership. respect..
@kemkominfo… https://t.co/v4igezuafl",positif
176,rt @kemhan_ri: menteri pertahanan prabowo subianto @prabowo menunaikan ibadah salat iduladha 1443 h berdampingan dengan presiden joko widod…,positif
177,"@detikcom ada baiknya kadiv @divpropampolri mengundurkan diri dulu, sebab peristiwa ini trjadi di rumahnya yang pas… https://t.co/s5fsrl8iw5",netral
178,@santanha_88 @jokowi kedaulatan data dan keterbukaan informasi itu penting dan mendesak.,netral
179,"desa wisata nusantara
https://t.co/uhbfwf17vo
@jokowi @halimiskandarnu
@kemendespdtt
@malik_haramain
@imansyukri… https://t.co/a7bby4zbba",netral
180,"rt @cybsquad_: untuk janda di seluruh indonesia
minta &amp; tagihlah janji @jokowi
😂😂😂 https://t.co/wydujteew2",netral
181,rt @mi73hel: makin pretttttsisi saja kinerja @listyosigitp 😥. pak @jokowi tolonglah ganti kapolri,netral
182,menteri2 yg sudah niat kontestasi 2024 kan bapak sdh tahu. bahkan mereka dr kmrn2 sdh kampanye. mengapa tdk direshu… https://t.co/dpitidqprz,netral
183,@blookier @jokowi mentionnya ke mata najwa jg kak. klo mata najwa biasanya cepet,netral
184,@infosebelah @jokowi @divpropampolri @divhumas_polri @kejaksaanri @aryprasetyo85 @kesittt @pencerah__ harusnya kasu… https://t.co/sgn44bfbdf,netral
185,"idm meningkat ipm harus meningkat. semangat membangun indonesia dari desa.
@jokowi
@halimiskandarnu
@imansyukri… https://t.co/rl4mgaxnqa",netral
186,@hirahito_ @erickthohir @jokowi ga capek apa ya bikin drama begitu trus,negartif
187,"di akherat @jokowi azab yg pedih. semua pejabat kabinet jokowi, terima azab yg dahsyat ‼️‼️ https://t.co/tyafcxmlcg",positif
188,@syahrul_yl @jokowi petani butuh jaminan harga agar jangan sampai harga menjadi anjlok ketika panen raya,positi
189,@anaktermudaa @erickthohir @jokowi 😒,netral
190,@jokowi 🥱🥱🥱🥱🥱,netral
191,@delzitaz @erickthohir @jokowi hooh,netral
192,salah @jokowi sendiri yg pilih @zul_hasan https://t.co/zpoy8sgep6,netral
193,"rt @aryprasetyo85: @ayang_utriza @purwa_wicak @khofifahip @untagsurabaya @kejaksaanri harus di hukum berat julianto ekaputra.
karena traum…",positif
194,"rt @widwira: apakah nkri masih setia dengan ideologinya pancasila, bhinneka tunggal ika, uud 1945, apakah ormas lebih berkuasa di nkri? @k…",netral
195,"@apriliciaarifah @yusrilihza_mhd @jokowi @mohmahfudmd @dpr_ri @bawaslu_ri apa datanya bilang, seperti bangun waduk… https://t.co/a8qapa0kbt",netral
196,"jabatan mendag hrs nya bebas parpol, perdagangan itu mata pencaharian negeri ini, menterinya professional yg sudah… https://t.co/pmojo05uhc",positif
197,"kepada yth : @jokowi
tolong di baca thread di bawah ini👇
ini termasuk dalam janji kampenye mu loh pak.😌
masukan b… https://t.co/52h1vfgdgr",netral
198,@erickthohir @jokowi bantuan yg tidak merata apakah baik pak ?,positif
199,"@jokowi maaf pak presiden yg mulia, sepertinya yg lebih penting saat ini adalah menurunkan harga-harga kebutuhan pokok pak,",positif
200,@erickthohir @jokowi wkwkwkwkwklawak,netral
201,"@tjitrosoenarjo @jokowi berani transparan, hebat 👍👍👍",positif
202,"@jumianto_rk @zul_hasan @jokowi kagak peduli penting urus keluarga dulu,yang lain bisa nomer sekian",netral
203,"rt @papa_loren: @erickthohir @jokowi klo cm dg berkunjung &amp; memberi bantuan ke “satu” pasar bs meningkatkan pertumbuhan ekonomi, sptnya pre…",netral
204,@erickthohir @jokowi sama kayak menteri yang bagi² migor kampanye anaknya..,positif
205,@gus_arifin @jokowi kok,netral
206,momen presiden @jokowi menganugerahkan tanda kehormatan bintang bhayangkara nararya kepada perwakilan penerima tand… https://t.co/xr2fsk9omh,positif
207,rt @sirsazly: @amer7211 @jokowi kalau kat malaysia pun pasti akan tolak . … dia minta merc atau vellfire. penyamun2 tak mainlah innova ni 😀…,negatif
208,rt @lisa_tjandra: @psantoda @diva_nkri @listyosigitp kapolri pengecut #gantikapolri @jokowi,netral
209,"@herusanto10 @jokowi sudah ditanyakan kok, ke george hamilton sama alexander the great, eh..ke cleopatra juga 🤣🤣
w… https://t.co/0fzvw99dds",netral
210,@jokowi jl.lintas perdagangan-siantar kab simalungun sumatra utara (berbatasan dg kota limapuluh kab batubara/ suma… https://t.co/xpjb9zceax,netral
211,@jokowi jok.bisa kerja,positif
212,@loveofspeechz @erickthohir @jokowi lanjutlah @kpk_ri,netral
213,@jokowi pupuk selalu susah dr musim ke musim saprodi yg lain naik terus harganya dan hsl dan hrga gabah stagnan cenderung turun,netral
214,"@ruhutsitompul @jokowi indonesia sesuai dgn konstitusi yg bebas aktif dlm pergaulan dunia,presiden @jokowi berusaha… https://t.co/ctknbwr6n2",netral
215,@hyang_wisnu @kemkominfo @platejohnny @jokowi @aryprasetyo85 @farrel27 @d_n4bil5 @delardian_ @firzahusainid… https://t.co/bjpgbq6cpk,netral
216,"rt @hyang_wisnu: hadiri fekdi 2022, menkominfo ungkap percepatan pembangunan infrastruktur digital
percepatan pembangunan infrastruktur ti…",netral
217,"rt @maya83206301: mohon maaf pak @jokowi dia sedang sibuk kampanyekan anaknya ..🙏
. https://t.co/iv2cneabpk",netral
218,"paul waterpauw: “the people of west papua thank president @jokowi for his care. the meat of cattle, slaughtered dur… https://t.co/gvjxg24f3p",netral
